task_id,response_time,execution_cost,transfer_cost
0,0.6259166666666667,0.010373333333333335,1.167
1,1.0883333333333334,0.008306666666666667,0.9345
2,1.3233333333333333,0.005866666666666667,0.66
3,1.0983333333333334,0.008386666666666667,0.9435
4,1.4886666666666666,0.006693333333333333,0.753
5,1.638,0.00744,0.837
6,2.4566666666666666,0.011533333333333333,1.2975
7,1.734,0.00792,0.891
8,1.8193333333333332,0.008346666666666667,0.9390000000000001
9,0.17704166666666665,0.0028133333333333335,0.3165
10,2.4886666666666666,0.011693333333333333,1.3155000000000001
11,1.0583333333333333,0.008066666666666666,0.9075
12,0.25145833333333334,0.004066666666666667,0.4575
13,2.051333333333333,0.009506666666666667,1.0695000000000001
14,0.8383333333333334,0.006306666666666667,0.7095
15,0.7795000000000001,0.012960000000000001,1.458
16,0.3933333333333333,0.002746666666666667,0.309
17,1.278,0.005639999999999999,0.6345000000000001
18,2.4166666666666665,0.011333333333333332,1.2750000000000001
19,0.19525,0.00312,0.35100000000000003
20,1.495,0.011559999999999999,1.3005
21,1.585,0.01228,1.3815
22,0.9233333333333333,0.0038666666666666667,0.435
23,1.062,0.004560000000000001,0.513
24,2.182,0.01016,1.143
25,0.942,0.00396,0.4455
26,0.39666666666666667,0.0027733333333333334,0.312
27,1.3713333333333333,0.006106666666666667,0.687
28,0.9446666666666667,0.003973333333333333,0.447
29,0.7636666666666667,0.012693333333333334,1.428
30,1.5766666666666667,0.0071333333333333335,0.8025
31,2.0166666666666666,0.009333333333333334,1.05
32,1.246,0.0054800000000000005,0.6165
33,0.5216666666666666,0.003773333333333334,0.4245
34,0.245125,0.00396,0.4455
35,0.8083333333333333,0.006066666666666667,0.6825
36,1.3783333333333334,0.010626666666666666,1.1955
37,1.2366666666666668,0.009493333333333335,1.068
38,0.6005833333333334,0.009946666666666668,1.119
39,0.6615416666666666,0.010973333333333333,1.2345
40,1.198,0.00655,0.786
41,1.5966666666666667,0.015466666666666668,1.856
42,2.1126666666666667,0.012266666666666667,1.472
43,1.3126666666666666,0.007266666666666668,0.872
44,0.7573333333333333,0.015733333333333332,1.8880000000000001
45,0.57,0.0052,0.624
46,2.806,0.0166,1.992
47,1.694,0.00965,1.158
48,1.4486666666666665,0.008116666666666666,0.974
49,1.3526666666666667,0.007516666666666668,0.902
50,1.5966666666666667,0.015466666666666668,1.856
51,1.0683333333333334,0.010183333333333334,1.222
52,1.7606666666666666,0.010066666666666668,1.208
53,2.4299999999999997,0.014249999999999999,1.71
54,0.8783333333333334,0.008283333333333334,0.994
55,1.4833333333333334,0.014333333333333335,1.72
56,1.6083333333333334,0.015583333333333333,1.87
57,2.5873333333333335,0.015233333333333333,1.828
58,1.9526666666666666,0.011266666666666668,1.352
59,1.0646666666666667,0.005716666666666667,0.686
60,0.8166666666666667,0.004166666666666667,0.5
61,0.6783333333333333,0.006283333333333334,0.754
62,0.7882083333333333,0.016383333333333333,1.966
63,0.23325,0.0047,0.5640000000000001
64,0.16833333333333333,0.0033333333333333335,0.4
65,0.7874166666666667,0.016366666666666665,1.964
66,0.6449166666666666,0.013366666666666666,1.604
67,1.182,0.006450000000000001,0.774
68,0.59425,0.0123,1.476
69,2.3739999999999997,0.013900000000000003,1.668
70,1.4593333333333331,0.008183333333333332,0.982
71,1.0993333333333333,0.005933333333333334,0.712
72,0.7313333333333333,0.003633333333333334,0.436
73,1.9286666666666665,0.011116666666666667,1.334
74,2.4753333333333334,0.014533333333333336,1.744
75,0.8033333333333333,0.007533333333333334,0.904
76,0.4525416666666666,0.009316666666666666,1.118
77,0.6966666666666667,0.006466666666666667,0.776
78,1.7446666666666666,0.009966666666666667,1.196
79,0.5916666666666667,0.005416666666666667,0.65
80,1.5473333333333332,0.009432,2.096
81,2.518,0.015983999999999998,3.552
82,1.3953333333333333,0.008406,1.868
83,2.4459999999999997,0.015497999999999998,3.444
84,0.39166666666666666,0.0036899999999999997,0.8200000000000001
85,1.774,0.010962000000000001,2.436
86,0.3955416666666667,0.008766,1.948
87,2.71,0.01728,3.84
88,0.7335833333333333,0.016451999999999998,3.656
89,1.5286666666666666,0.009306,2.068
90,1.651333333333333,0.010134,2.2520000000000002
91,0.25145833333333334,0.00549,1.22
92,0.9683333333333335,0.009918,2.204
93,0.5530833333333334,0.012348,2.744
94,1.7553333333333332,0.010836,2.408
95,1.9206666666666665,0.011951999999999999,2.656
96,2.126,0.013338,2.964
97,2.4619999999999997,0.015605999999999998,3.468
98,0.44666666666666666,0.0042840000000000005,0.9520000000000001
99,0.6583333333333333,0.00657,1.46
